Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Power,Temp_diff,Tool_Torque
2,303.3,311.3,1532,35.7,72,0,0,0,0,0,0,54692.4,8.0,2570.4
3,299.4,308.6,1536,40.9,129,0,0,0,0,0,0,62822.399999999994,9.200000000000045,5276.099999999999
3,296.7,307.9,1454,49.7,30,0,0,0,0,0,0,72263.8,11.199999999999989,1491.0
3,300.0,309.5,1783,25.6,114,0,0,0,0,0,0,45644.8,9.5,2918.4
2,299.7,310.7,1379,46.8,192,0,0,0,0,0,0,64537.2,11.0,8985.599999999999
2,299.9,309.5,1471,51.0,194,0,0,0,0,0,0,75021.0,9.600000000000023,9894.0
3,300.5,311.9,1474,37.7,39,0,0,0,0,0,0,55569.8,11.399999999999977,1470.3000000000002
3,301.6,310.1,1548,32.6,80,0,0,0,0,0,0,50464.8,8.5,2608.0
2,301.6,310.9,1357,52.1,213,0,0,0,0,0,0,70699.7,9.299999999999955,11097.300000000001
2,299.7,309.3,1339,50.3,185,0,0,0,0,0,0,67351.7,9.600000000000023,9305.5
2,298.6,309.9,1573,40.6,179,0,0,0,0,0,0,63863.8,11.299999999999955,7267.400000000001
2,304.2,313.3,1529,40.9,109,0,0,0,0,0,0,62536.1,9.100000000000023,4458.099999999999
2,298.4,310.4,1476,39.4,84,0,0,0,0,0,0,58154.4,12.0,3309.6
2,302.6,312.2,1551,40.5,21,0,0,0,0,0,0,62815.5,9.599999999999966,850.5
3,300.9,310.6,1452,42.4,192,0,0,0,0,0,0,61564.799999999996,9.700000000000045,8140.799999999999
3,299.4,309.3,1449,40.4,166,0,0,0,0,0,0,58539.6,9.900000000000034,6706.4
2,299.7,309.1,1387,54.5,0,0,0,0,0,0,0,75591.5,9.400000000000034,0.0
3,299.8,309.4,1415,41.6,125,0,0,0,0,0,0,58864.0,9.599999999999966,5200.0
3,300.0,311.3,1423,46.4,69,0,0,0,0,0,0,66027.2,11.300000000000011,3201.6
1,296.7,308.6,1404,46.9,121,0,0,0,0,0,0,65847.59999999999,11.900000000000034,5674.9
3,302.1,310.9,1762,27.9,8,0,0,0,0,0,0,49159.799999999996,8.799999999999955,223.2
3,298.0,307.8,1354,51.3,65,0,0,0,0,0,0,69460.2,9.800000000000011,3334.5
1,298.0,308.2,1515,45.7,8,0,0,0,0,0,0,69235.5,10.199999999999989,365.6
2,303.3,312.7,1785,27.1,155,0,0,0,0,0,0,48373.5,9.399999999999977,4200.5
3,301.2,310.6,1425,48.1,9,0,0,0,0,0,0,68542.5,9.400000000000034,432.90000000000003
2,298.1,308.9,1674,28.2,15,0,0,0,0,0,0,47206.799999999996,10.799999999999955,423.0
3,297.5,308.0,1454,43.5,43,0,0,0,0,0,0,63249.0,10.5,1870.5
3,302.5,310.7,1359,47.1,206,1,1,1,0,0,0,64008.9,8.199999999999989,9702.6
3,300.6,310.7,1486,36.1,7,0,0,0,0,0,0,53644.6,10.099999999999966,252.70000000000002
1,300.4,309.9,1482,44.8,108,0,0,0,0,0,0,66393.59999999999,9.5,4838.4
1,298.2,309.7,1434,49.3,128,0,0,0,0,0,0,70696.2,11.5,6310.4
3,302.7,311.4,1675,34.6,136,0,0,0,0,0,0,57955.0,8.699999999999989,4705.6
3,299.1,308.6,1375,46.5,5,0,0,0,0,0,0,63937.5,9.5,232.5
2,302.0,311.4,1364,53.2,41,0,0,0,0,0,0,72564.8,9.399999999999977,2181.2000000000003
3,300.6,309.2,1600,38.1,137,0,0,0,0,0,0,60960.0,8.599999999999966,5219.7
1,299.1,310.8,1584,32.1,216,1,1,0,0,0,0,50846.4,11.699999999999989,6933.6
3,296.1,307.7,1572,31.9,1,0,0,0,0,0,0,50146.799999999996,11.599999999999966,31.9
2,296.7,307.9,1556,41.2,47,0,0,0,0,0,0,64107.200000000004,11.199999999999989,1936.4
2,297.6,308.4,1559,35.7,132,0,0,0,0,0,0,55656.3,10.799999999999955,4712.400000000001
3,299.8,311.5,1406,43.6,181,0,0,0,0,0,0,61301.6,11.699999999999989,7891.6
3,299.2,310.3,1622,31.8,241,0,0,0,0,0,0,51579.6,11.100000000000023,7663.8
3,302.6,312.4,1493,47.0,253,1,0,0,0,1,0,70171.0,9.799999999999955,11891.0
1,296.8,308.1,1434,41.4,189,0,0,0,0,0,0,59367.6,11.300000000000011,7824.599999999999
1,300.1,311.1,1341,47.8,148,0,0,0,0,0,0,64099.799999999996,11.0,7074.4
2,299.2,310.4,1512,38.8,159,0,0,0,0,0,0,58665.6,11.199999999999989,6169.2
2,300.2,309.6,1494,44.2,88,0,0,0,0,0,0,66034.8,9.400000000000034,3889.6000000000004
2,302.6,311.4,1562,33.7,21,0,0,0,0,0,0,52639.4,8.799999999999955,707.7
3,297.0,308.0,1549,42.0,92,0,0,0,0,0,0,65058.0,11.0,3864.0
1,301.1,310.8,1470,37.6,13,0,0,0,0,0,0,55272.0,9.699999999999989,488.8
3,299.1,310.4,1581,34.1,87,0,0,0,0,0,0,53912.100000000006,11.299999999999955,2966.7000000000003
2,297.9,307.3,1795,26.0,227,1,1,0,0,0,0,46670.0,9.400000000000034,5902.0
3,299.5,308.6,1358,53.2,147,0,0,0,0,0,0,72245.6,9.100000000000023,7820.400000000001
3,300.8,309.8,1503,40.2,183,0,0,0,0,0,0,60420.600000000006,9.0,7356.6
2,297.6,307.4,1398,49.9,39,0,0,0,0,0,0,69760.2,9.799999999999955,1946.1
3,297.9,307.4,1395,43.1,155,0,0,0,0,0,0,60124.5,9.5,6680.5
3,300.9,311.2,1408,42.5,219,0,0,0,0,0,0,59840.0,10.300000000000011,9307.5
3,299.2,309.9,1498,35.7,53,0,0,0,0,0,0,53478.600000000006,10.699999999999989,1892.1000000000001
3,297.5,308.8,1702,34.6,83,0,0,0,0,0,0,58889.200000000004,11.300000000000011,2871.8
2,297.9,308.2,1385,48.0,209,0,0,0,0,0,0,66480.0,10.300000000000011,10032.0
2,297.2,308.5,1468,41.8,46,0,0,0,0,0,0,61362.399999999994,11.300000000000011,1922.8
3,297.1,308.1,1422,50.0,207,0,0,0,0,0,0,71100.0,11.0,10350.0
2,302.4,311.1,1526,35.3,68,0,0,0,0,0,0,53867.799999999996,8.700000000000045,2400.3999999999996
3,299.8,309.1,1371,49.8,29,0,0,0,0,0,0,68275.8,9.300000000000011,1444.1999999999998
1,297.6,307.3,1526,38.2,22,0,0,0,0,0,0,58293.200000000004,9.699999999999989,840.4000000000001
1,300.7,310.4,1651,32.2,44,0,0,0,0,0,0,53162.200000000004,9.699999999999989,1416.8000000000002
3,297.5,308.6,1611,39.1,44,0,0,0,0,0,0,62990.100000000006,11.100000000000023,1720.4
2,297.1,309.2,1526,35.7,147,0,0,0,0,0,0,54478.200000000004,12.099999999999966,5247.900000000001
3,301.7,310.0,1492,45.0,24,0,0,0,0,0,0,67140.0,8.300000000000011,1080.0
2,298.6,307.8,1453,48.6,75,0,0,0,0,0,0,70615.8,9.199999999999989,3645.0
2,298.3,308.2,1494,38.4,126,0,0,0,0,0,0,57369.6,9.899999999999977,4838.4
3,299.9,310.1,1486,46.9,110,0,0,0,0,0,0,69693.4,10.200000000000045,5159.0
3,299.5,309.4,1762,35.0,151,0,0,0,0,0,0,61670.0,9.899999999999977,5285.0
3,303.8,313.3,1636,29.9,117,0,0,0,0,0,0,48916.399999999994,9.5,3498.2999999999997
2,303.3,313.1,1473,41.3,137,0,0,0,0,0,0,60834.899999999994,9.800000000000011,5658.099999999999
3,301.5,311.0,1375,45.9,77,0,0,0,0,0,0,63112.5,9.5,3534.2999999999997
2,295.3,306.6,1724,28.2,44,0,0,0,0,0,0,48616.799999999996,11.300000000000011,1240.8
3,298.4,308.3,1630,30.7,1,0,0,0,0,0,0,50041.0,9.900000000000034,30.7
3,302.1,310.4,1331,57.0,110,1,0,1,0,0,0,75867.0,8.299999999999955,6270.0
2,300.9,311.3,1350,60.3,87,0,0,0,0,0,0,81405.0,10.400000000000034,5246.099999999999
2,296.5,306.7,1556,38.3,24,0,0,0,0,0,0,59594.799999999996,10.199999999999989,919.1999999999999
3,302.7,310.8,1671,33.8,75,0,0,0,0,0,0,56479.799999999996,8.100000000000023,2535.0
3,299.0,310.4,1504,36.9,161,0,0,0,0,0,0,55497.6,11.399999999999977,5940.9
3,298.5,309.3,1959,20.2,22,0,0,0,0,0,0,39571.799999999996,10.800000000000011,444.4
3,299.7,309.2,1523,38.3,64,0,0,0,0,0,0,58330.899999999994,9.5,2451.2
3,298.0,307.8,1284,62.9,38,0,0,0,0,0,0,80763.59999999999,9.800000000000011,2390.2
1,301.0,309.7,1496,39.9,186,0,0,0,0,0,0,59690.4,8.699999999999989,7421.4
2,298.3,308.1,1507,36.8,34,0,0,0,0,0,0,55457.6,9.800000000000011,1251.1999999999998
2,303.1,311.9,1702,29.7,18,0,0,0,0,0,0,50549.4,8.799999999999955,534.6
2,299.0,310.8,1800,22.8,194,0,0,0,0,0,0,41040.0,11.800000000000011,4423.2
3,297.1,307.5,1467,42.6,209,0,0,0,0,0,0,62494.200000000004,10.399999999999977,8903.4
1,297.8,308.0,1631,34.3,191,0,0,0,0,0,0,55943.299999999996,10.199999999999989,6551.299999999999
2,302.2,309.7,2068,17.3,180,0,0,0,0,0,0,35776.4,7.5,3114.0
2,300.6,310.0,1401,43.0,95,0,0,0,0,0,0,60243.0,9.399999999999977,4085.0
3,300.2,311.1,1432,59.0,100,0,0,0,0,0,0,84488.0,10.900000000000034,5900.0
2,299.7,308.7,1527,43.2,50,0,0,0,0,0,0,65966.40000000001,9.0,2160.0
3,297.3,308.2,1710,26.6,65,0,0,0,0,0,0,45486.0,10.899999999999977,1729.0
3,299.8,310.8,1274,54.2,113,0,0,0,0,0,0,69050.8,11.0,6124.6
2,295.4,306.0,1350,53.0,203,0,0,0,0,0,0,71550.0,10.600000000000023,10759.0
2,301.7,311.5,1285,56.0,42,0,0,0,0,0,0,71960.0,9.800000000000011,2352.0
2,301.7,310.2,1361,50.6,193,1,0,1,0,0,0,68866.6,8.5,9765.800000000001
3,302.1,311.2,1491,40.3,54,0,0,0,0,0,0,60087.299999999996,9.099999999999966,2176.2
1,300.1,311.3,1359,48.1,48,0,0,0,0,0,0,65367.9,11.199999999999989,2308.8
3,299.8,309.9,1377,40.5,105,0,0,0,0,0,0,55768.5,10.099999999999966,4252.5
3,299.8,311.3,1548,35.3,138,0,0,0,0,0,0,54644.399999999994,11.5,4871.4
2,297.4,308.5,1559,46.9,53,0,0,0,0,0,0,73117.09999999999,11.100000000000023,2485.7
3,300.6,311.8,1486,36.8,110,0,0,0,0,0,0,54684.799999999996,11.199999999999989,4047.9999999999995
3,300.8,310.1,1478,51.1,51,0,0,0,0,0,0,75525.8,9.300000000000011,2606.1
2,300.7,310.7,1473,46.7,196,0,0,0,0,0,0,68789.1,10.0,9153.2
2,301.3,310.8,1403,48.3,171,0,0,0,0,0,0,67764.9,9.5,8259.3
3,301.2,311.1,1807,25.4,171,0,0,0,0,0,0,45897.799999999996,9.900000000000034,4343.4
3,296.9,307.8,1687,26.2,181,0,0,0,0,0,0,44199.4,10.900000000000034,4742.2
3,302.3,310.9,1461,41.0,66,0,0,0,0,0,0,59901.0,8.599999999999966,2706.0
3,302.7,311.4,1439,44.5,198,0,0,0,0,0,0,64035.5,8.699999999999989,8811.0
3,299.8,309.7,1845,28.9,163,0,0,0,0,0,0,53320.5,9.899999999999977,4710.7
1,300.9,309.6,1465,43.5,18,0,0,0,0,0,0,63727.5,8.700000000000045,783.0
2,299.2,308.5,1495,47.5,132,0,0,0,0,0,0,71012.5,9.300000000000011,6270.0
3,300.6,311.0,1369,48.6,1,0,0,0,0,0,0,66533.40000000001,10.399999999999977,48.6
3,300.9,312.1,1559,32.2,7,0,0,0,0,0,0,50199.8,11.200000000000045,225.40000000000003
2,298.0,306.9,1417,45.0,92,0,0,0,0,0,0,63765.0,8.899999999999977,4140.0
3,302.1,310.0,1412,53.1,55,0,0,0,0,0,0,74977.2,7.899999999999977,2920.5
2,300.3,309.2,1565,35.3,33,0,0,0,0,0,0,55244.49999999999,8.899999999999977,1164.8999999999999
2,296.4,307.6,1690,33.8,115,0,0,0,0,0,0,57121.99999999999,11.200000000000045,3886.9999999999995
2,298.5,309.2,1605,31.2,23,0,0,0,0,0,0,50076.0,10.699999999999989,717.6
3,299.2,310.6,2016,21.6,63,0,0,0,0,0,0,43545.600000000006,11.400000000000034,1360.8000000000002
3,300.3,311.6,1641,33.8,40,0,0,0,0,0,0,55465.799999999996,11.300000000000011,1352.0
3,299.8,311.3,1619,30.4,62,0,0,0,0,0,0,49217.6,11.5,1884.8
3,297.6,308.6,1682,28.0,63,0,0,0,0,0,0,47096.0,11.0,1764.0
3,300.2,309.4,1499,40.2,114,0,0,0,0,0,0,60259.8,9.199999999999989,4582.8
2,302.1,309.8,1594,34.2,218,0,0,0,0,0,0,54514.8,7.699999999999989,7455.6
3,303.1,310.4,1442,45.6,6,0,0,0,0,0,0,65755.2,7.2999999999999545,273.6
3,297.4,308.7,1583,46.3,75,0,0,0,0,0,0,73292.9,11.300000000000011,3472.5
1,303.6,312.8,1493,42.8,51,0,0,0,0,0,0,63900.399999999994,9.199999999999989,2182.7999999999997
2,304.0,312.6,1480,44.2,201,0,0,0,0,0,0,65416.00000000001,8.600000000000023,8884.2
2,296.8,308.2,1684,33.9,76,0,0,0,0,0,0,57087.6,11.399999999999977,2576.4
3,297.3,308.2,1520,35.3,47,0,0,0,0,0,0,53655.99999999999,10.899999999999977,1659.1
1,300.0,310.8,1423,44.6,39,0,0,0,0,0,0,63465.8,10.800000000000011,1739.4
3,301.7,311.1,2065,17.0,107,0,0,0,0,0,0,35105.0,9.400000000000034,1819.0
3,298.1,307.4,1495,42.1,60,0,0,0,0,0,0,62939.5,9.299999999999955,2526.0
1,301.4,309.6,1426,46.2,23,0,0,0,0,0,0,65881.2,8.200000000000045,1062.6000000000001
2,295.8,306.6,1412,45.0,54,0,0,0,0,0,0,63540.0,10.800000000000011,2430.0
3,302.4,311.1,1378,49.5,209,0,0,0,0,0,0,68211.0,8.700000000000045,10345.5
3,298.3,309.3,1917,22.1,158,0,0,0,0,0,0,42365.700000000004,11.0,3491.8
3,298.1,308.4,1692,33.6,74,0,0,0,0,0,0,56851.200000000004,10.299999999999955,2486.4
3,298.7,309.9,1368,48.5,176,0,0,0,0,0,0,66348.0,11.199999999999989,8536.0
3,298.6,307.7,1412,50.4,179,0,0,0,0,0,0,71164.8,9.099999999999966,9021.6
3,296.9,307.3,1393,42.1,44,0,0,0,0,0,0,58645.3,10.400000000000034,1852.4
3,297.2,309.4,1322,53.3,114,0,0,0,0,0,0,70462.59999999999,12.199999999999989,6076.2
3,302.1,310.8,1344,50.4,70,0,0,0,0,0,0,67737.59999999999,8.699999999999989,3528.0
1,297.6,308.6,1814,25.2,182,0,0,0,0,0,0,45712.799999999996,11.0,4586.4
3,300.6,312.2,1418,42.8,134,0,0,0,0,0,0,60690.399999999994,11.599999999999966,5735.2
3,298.3,307.9,2897,3.8,55,1,0,0,1,0,0,11008.6,9.599999999999966,209.0
2,297.2,308.0,1533,39.7,112,0,0,0,0,0,0,60860.100000000006,10.800000000000011,4446.400000000001
3,297.5,307.7,1504,35.9,146,0,0,0,0,0,0,53993.6,10.199999999999989,5241.4
3,298.1,309.2,1514,42.8,69,0,0,0,0,0,0,64799.2,11.099999999999966,2953.2
3,300.3,311.8,1450,48.0,14,0,0,0,0,0,0,69600.0,11.5,672.0
3,301.0,310.9,1574,51.6,181,0,0,0,0,0,0,81218.40000000001,9.899999999999977,9339.6
3,301.2,311.5,1471,38.9,192,0,0,0,0,0,0,57221.9,10.300000000000011,7468.799999999999
1,298.9,308.8,1393,48.0,27,0,0,0,0,0,0,66864.0,9.900000000000034,1296.0
2,302.1,310.9,1532,35.8,71,0,0,0,0,0,0,54845.6,8.799999999999955,2541.7999999999997
2,301.0,310.2,2055,18.7,176,0,0,0,0,0,0,38428.5,9.199999999999989,3291.2
1,301.0,309.7,1425,42.5,186,0,0,0,0,0,0,60562.5,8.699999999999989,7905.0
2,302.7,312.1,1434,46.5,216,1,1,0,0,0,0,66681.0,9.400000000000034,10044.0
3,300.9,310.7,1979,21.1,20,0,0,0,0,0,0,41756.9,9.800000000000011,422.0
3,299.1,309.3,1580,40.4,27,0,0,0,0,0,0,63832.0,10.199999999999989,1090.8
1,302.2,311.2,1569,39.3,148,0,0,0,0,0,0,61661.7,9.0,5816.4
3,301.4,310.7,1708,30.0,136,0,0,0,0,0,0,51240.0,9.300000000000011,4080.0
3,300.7,311.9,2206,18.8,122,0,0,0,0,0,0,41472.8,11.199999999999989,2293.6
3,302.1,310.4,1752,29.0,5,0,0,0,0,0,0,50808.0,8.299999999999955,145.0
1,299.7,309.9,1567,37.9,117,0,0,0,0,0,0,59389.299999999996,10.199999999999989,4434.3
3,299.2,308.5,1392,45.9,32,0,0,0,0,0,0,63892.799999999996,9.300000000000011,1468.8
3,297.6,308.9,1490,34.4,9,0,0,0,0,0,0,51256.0,11.299999999999955,309.59999999999997
2,301.8,310.9,1583,38.6,171,0,0,0,0,0,0,61103.8,9.099999999999966,6600.6
3,297.1,307.6,1676,35.6,18,0,0,0,0,0,0,59665.600000000006,10.5,640.8000000000001
3,297.6,308.6,1550,31.6,146,0,0,0,0,0,0,48980.0,11.0,4613.6
3,300.8,310.3,1476,48.5,157,0,0,0,0,0,0,71586.0,9.5,7614.5
2,299.3,309.3,1345,45.4,96,0,0,0,0,0,0,61063.0,10.0,4358.4
3,302.0,311.1,1599,35.7,92,0,0,0,0,0,0,57084.3,9.100000000000023,3284.4
2,298.7,310.3,1622,33.9,37,0,0,0,0,0,0,54985.799999999996,11.600000000000023,1254.3
3,297.7,308.0,1861,26.7,3,0,0,0,0,0,0,49688.7,10.300000000000011,80.1
3,297.8,308.8,1409,52.5,190,0,0,0,0,0,0,73972.5,11.0,9975.0
3,300.7,311.5,1508,45.5,134,0,0,0,0,0,0,68614.0,10.800000000000011,6097.0
3,297.9,309.0,1371,47.1,19,0,0,0,0,0,0,64574.1,11.100000000000023,894.9
3,302.3,311.3,1523,33.7,36,0,0,0,0,0,0,51325.100000000006,9.0,1213.2
3,298.4,309.0,1343,53.3,160,0,0,0,0,0,0,71581.9,10.600000000000023,8528.0
2,298.1,309.9,1855,21.4,167,0,0,0,0,0,0,39697.0,11.799999999999955,3573.7999999999997
3,303.4,312.9,1317,55.2,195,0,0,0,0,0,0,72698.40000000001,9.5,10764.0
3,302.3,311.7,1371,57.5,206,1,0,0,0,1,0,78832.5,9.399999999999977,11845.0
3,300.7,312.1,1465,35.8,106,0,0,0,0,0,0,52446.99999999999,11.400000000000034,3794.7999999999997
3,301.8,311.4,1459,44.8,162,0,0,0,0,0,0,65363.2,9.599999999999966,7257.599999999999
3,301.7,311.1,1435,46.7,0,0,0,0,0,0,0,67014.5,9.400000000000034,0.0
3,301.3,310.3,1626,30.3,107,0,0,0,0,0,0,49267.8,9.0,3242.1
2,300.6,309.8,1513,38.3,151,0,0,0,0,0,0,57947.899999999994,9.199999999999989,5783.299999999999
2,299.8,309.9,1654,34.6,171,0,0,0,0,0,0,57228.4,10.099999999999966,5916.6
2,299.7,310.7,1569,40.3,177,0,0,0,0,0,0,63230.7,11.0,7133.099999999999
1,300.0,310.9,1424,47.3,166,0,0,0,0,0,0,67355.2,10.899999999999977,7851.799999999999
1,299.1,309.2,1714,27.4,94,0,0,0,0,0,0,46963.6,10.099999999999966,2575.6
2,297.9,309.2,1282,59.9,8,0,0,0,0,0,0,76791.8,11.300000000000011,479.2
1,303.4,312.5,1384,40.2,152,0,0,0,0,0,0,55636.8,9.100000000000023,6110.400000000001
3,302.7,311.9,1573,41.8,191,0,0,0,0,0,0,65751.4,9.199999999999989,7983.799999999999
3,300.3,311.2,1760,27.6,176,0,0,0,0,0,0,48576.0,10.899999999999977,4857.6
3,298.6,309.4,1540,38.7,5,0,0,0,0,0,0,59598.00000000001,10.799999999999955,193.5
3,302.1,311.7,1446,41.4,133,0,0,0,0,0,0,59864.4,9.599999999999966,5506.2
1,296.0,307.1,1309,49.6,176,0,0,0,0,0,0,64926.4,11.100000000000023,8729.6
1,298.8,309.6,1754,26.4,69,0,0,0,0,0,0,46305.6,10.800000000000011,1821.6
3,300.8,310.8,1370,49.2,68,0,0,0,0,0,0,67404.0,10.0,3345.6000000000004
3,299.1,309.3,1639,38.2,77,0,0,0,0,0,0,62609.8,10.199999999999989,2941.4
2,300.9,312.3,1283,50.4,72,0,0,0,0,0,0,64663.2,11.400000000000034,3628.7999999999997
2,301.1,310.5,1669,29.7,151,0,0,0,0,0,0,49569.299999999996,9.399999999999977,4484.7
2,304.1,312.8,1583,29.8,103,0,0,0,0,0,0,47173.4,8.699999999999989,3069.4
2,303.8,311.8,1448,43.2,150,0,0,0,0,0,0,62553.600000000006,8.0,6480.0
2,298.4,308.6,1293,55.7,59,0,0,0,0,0,0,72020.1,10.200000000000045,3286.3
3,298.2,307.8,1499,47.8,26,0,0,0,0,0,0,71652.2,9.600000000000023,1242.8
3,299.3,309.2,1526,36.5,227,0,0,0,0,0,0,55699.0,9.899999999999977,8285.5
2,300.7,310.3,1461,40.1,58,1,0,0,0,0,1,58586.1,9.600000000000023,2325.8
2,298.1,310.3,1498,37.4,62,0,0,0,0,0,0,56025.2,12.199999999999989,2318.7999999999997
3,300.3,309.2,1584,31.4,177,0,0,0,0,0,0,49737.6,8.899999999999977,5557.8
3,299.6,309.1,2262,16.5,202,0,0,0,0,0,0,37323.0,9.5,3333.0
2,300.8,310.9,1717,29.7,74,0,0,0,0,0,0,50994.9,10.099999999999966,2197.7999999999997
3,299.2,309.2,1481,36.3,145,0,0,0,0,0,0,53760.299999999996,10.0,5263.5
3,298.1,309.5,1488,37.3,140,0,0,0,0,0,0,55502.399999999994,11.399999999999977,5222.0
1,300.3,310.9,1372,49.9,49,0,0,0,0,0,0,68462.8,10.599999999999966,2445.1
3,297.2,308.9,1567,34.9,79,0,0,0,0,0,0,54688.299999999996,11.699999999999989,2757.1
3,300.3,309.3,1437,46.7,50,0,0,0,0,0,0,67107.90000000001,9.0,2335.0
3,303.6,311.8,2188,16.9,111,0,0,0,0,0,0,36977.2,8.199999999999989,1875.8999999999999
3,299.9,310.4,1931,22.6,163,0,0,0,0,0,0,43640.600000000006,10.5,3683.8
2,300.0,310.3,1544,35.2,20,0,0,0,0,0,0,54348.8,10.300000000000011,704.0
2,301.0,311.8,1626,31.1,55,0,0,0,0,0,0,50568.600000000006,10.800000000000011,1710.5
3,302.7,312.2,1558,36.1,13,0,0,0,0,0,0,56243.8,9.5,469.3
1,299.9,310.3,1527,42.2,206,0,0,0,0,0,0,64439.4,10.400000000000034,8693.2
2,298.9,309.3,1679,29.3,164,0,0,0,0,0,0,49194.700000000004,10.400000000000034,4805.2
3,298.9,309.7,1469,37.2,14,0,0,0,0,0,0,54646.8,10.800000000000011,520.8000000000001
2,296.8,307.5,1372,44.1,148,0,0,0,0,0,0,60505.200000000004,10.699999999999989,6526.8
3,298.8,309.1,1526,38.9,147,0,0,0,0,0,0,59361.4,10.300000000000011,5718.3
2,300.4,309.3,1358,51.2,217,0,0,0,0,0,0,69529.6,8.900000000000034,11110.400000000001
3,301.5,310.6,1714,28.6,132,0,0,0,0,0,0,49020.4,9.100000000000023,3775.2000000000003
3,295.6,306.1,1652,30.2,32,0,0,0,0,0,0,49890.4,10.5,966.4
3,301.8,310.6,1518,39.4,92,0,0,0,0,0,0,59809.2,8.800000000000011,3624.7999999999997
3,298.0,307.7,1505,41.0,148,0,0,0,0,0,0,61705.0,9.699999999999989,6068.0
2,299.8,311.4,1366,45.0,3,0,0,0,0,0,0,61470.0,11.599999999999966,135.0
3,298.4,309.9,1608,30.5,217,0,0,0,0,0,0,49044.0,11.5,6618.5
3,301.8,311.3,1721,30.2,79,0,0,0,0,0,0,51974.2,9.5,2385.7999999999997
3,296.9,308.2,1480,40.4,46,0,0,0,0,0,0,59792.0,11.300000000000011,1858.3999999999999
2,296.7,307.4,1579,44.3,197,0,0,0,0,0,0,69949.7,10.699999999999989,8727.099999999999
1,301.8,311.4,1615,39.3,147,0,0,0,0,0,0,63469.49999999999,9.599999999999966,5777.099999999999
2,303.3,312.8,1903,19.9,63,0,0,0,0,0,0,37869.7,9.5,1253.6999999999998
3,304.3,312.3,1728,27.4,157,0,0,0,0,0,0,47347.2,8.0,4301.8
2,298.4,307.7,1423,53.8,137,0,0,0,0,0,0,76557.4,9.300000000000011,7370.599999999999
3,301.3,310.8,1505,39.3,4,0,0,0,0,0,0,59146.49999999999,9.5,157.2
2,297.7,308.5,1518,42.1,56,0,0,0,0,0,0,63907.8,10.800000000000011,2357.6
2,299.7,308.4,1453,45.5,50,0,0,0,0,0,0,66111.5,8.699999999999989,2275.0
2,297.4,308.2,1674,30.4,21,0,0,0,0,0,0,50889.6,10.800000000000011,638.4
3,301.3,310.8,1601,38.8,165,0,0,0,0,0,0,62118.799999999996,9.5,6401.999999999999
3,301.5,310.8,1564,38.0,49,0,0,0,0,0,0,59432.0,9.300000000000011,1862.0
3,301.8,311.2,1424,52.5,58,0,0,0,0,0,0,74760.0,9.399999999999977,3045.0
3,300.8,311.8,1342,63.5,149,0,0,0,0,0,0,85217.0,11.0,9461.5
3,298.9,310.1,1419,45.2,199,0,0,0,0,0,0,64138.8,11.200000000000045,8994.800000000001
3,301.0,310.6,1455,45.9,185,0,0,0,0,0,0,66784.5,9.600000000000023,8491.5
3,301.1,310.5,1544,36.2,199,0,0,0,0,0,0,55892.8,9.399999999999977,7203.8
3,298.3,308.4,1393,48.4,194,0,0,0,0,0,0,67421.2,10.099999999999966,9389.6
2,302.5,312.5,1586,28.3,195,0,0,0,0,0,0,44883.8,10.0,5518.5
3,298.1,308.7,1452,50.0,146,0,0,0,0,0,0,72600.0,10.599999999999966,7300.0
1,300.7,309.6,1403,43.6,65,0,0,0,0,0,0,61170.8,8.900000000000034,2834.0
2,301.6,310.6,1699,31.9,139,0,0,0,0,0,0,54198.1,9.0,4434.099999999999
1,297.6,309.2,1489,40.5,88,0,0,0,0,0,0,60304.5,11.599999999999966,3564.0
3,301.6,311.2,1436,48.5,18,0,0,0,0,0,0,69646.0,9.599999999999966,873.0
3,300.3,309.4,1428,47.4,134,0,0,0,0,0,0,67687.2,9.099999999999966,6351.599999999999
3,300.1,311.9,1895,21.3,54,0,0,0,0,0,0,40363.5,11.799999999999955,1150.2
3,304.4,313.0,1719,26.5,157,0,0,0,0,0,0,45553.5,8.600000000000023,4160.5
2,296.4,307.8,1854,22.2,127,0,0,0,0,0,0,41158.799999999996,11.400000000000034,2819.4
2,299.7,309.7,1406,43.7,210,0,0,0,0,0,0,61442.200000000004,10.0,9177.0
3,298.8,309.4,1495,30.5,143,0,0,0,0,0,0,45597.5,10.599999999999966,4361.5
3,297.7,309.2,1303,50.4,45,0,0,0,0,0,0,65671.2,11.5,2268.0
1,299.9,311.4,1284,59.5,23,0,0,0,0,0,0,76398.0,11.5,1368.5
3,301.9,310.3,1399,50.6,6,0,0,0,0,0,0,70789.40000000001,8.400000000000034,303.6
2,300.4,310.9,1451,44.2,185,0,0,0,0,0,0,64134.200000000004,10.5,8177.000000000001
1,302.0,310.5,1482,40.2,183,0,0,0,0,0,0,59576.4,8.5,7356.6
3,301.4,312.3,1462,39.0,80,0,0,0,0,0,0,57018.0,10.900000000000034,3120.0
3,297.7,308.9,1412,43.1,75,0,0,0,0,0,0,60857.200000000004,11.199999999999989,3232.5
1,298.7,309.1,1682,30.3,108,0,0,0,0,0,0,50964.6,10.400000000000034,3272.4
